Pred. Values,New Pred. Values,Actual Values
13.0,13.87,11
16.0,13.87,11
10.0,12.83,7
29.0,26.55,26
6.0,16.77,21
33.0,18.2,24
43.0,37.43,41
39.0,39.64,47
45.0,32.04,25
31.0,32.84,37
21.0,32.81,25
53.0,39.64,44
34.0,40.7,29
34.0,26.55,27
51.0,34.56,29
36.0,41.15,22
30.0,32.84,27
27.0,40.7,39
29.0,30.03,29
14.0,12.83,7
15.0,29.69,24
28.0,31.1,33
12.0,12.83,9
34.0,29.69,24
36.0,34.03,48
23.0,26.98,38
30.0,32.81,32
22.0,32.81,30
32.0,36.55,44
27.0,22.79,13
28.0,32.81,26
30.0,31.59,27
7.0,12.83,15
34.0,26.55,35
22.0,22.69,22
37.0,34.47,29
16.0,16.77,14
12.0,16.77,14
34.0,36.55,45
24.0,24.6,23
30.0,32.81,31
24.0,20.72,28
21.0,32.81,24
31.0,34.56,39
17.0,18.2,27
7.0,12.83,20
8.0,12.83,15
16.0,12.83,11
39.0,32.81,35
40.0,36.55,33
49.0,34.56,35
28.0,34.47,27
12.0,15.74,10
17.0,15.74,12
39.0,32.84,30
14.0,12.83,11
34.0,33.46,35
38.0,34.56,28
11.0,16.77,21
34.0,34.29,40
16.0,13.87,15
29.0,32.81,34
5.0,13.87,9
35.0,32.81,39
27.0,18.16,13
30.0,41.15,35
36.0,26.55,33
27.0,32.81,41
25.0,31.62,30
38.0,29.55,25
45.0,29.55,38
13.0,12.83,17
25.0,32.81,21
20.0,16.77,12
29.0,32.81,40
50.0,57.31,69
14.0,15.74,14
15.0,16.77,20
21.0,19.28,14
34.0,39.64,46
14.0,12.83,18
35.0,34.56,42
38.0,36.55,24
30.0,29.55,26
8.0,13.87,9
38.0,32.81,27
14.0,18.63,19
17.0,15.74,26
32.0,37.96,27
36.0,35.92,27
26.0,37.43,33
28.0,37.96,39
56.0,41.36,31
29.0,39.64,49
16.0,12.83,19
20.0,29.69,29
48.0,36.55,31
49.0,36.55,35
39.0,41.15,29
48.0,45.62,34
44.0,37.96,26
16.0,26.34,19
47.0,37.43,29
34.0,32.84,38
30.0,40.7,36
49.0,26.55,55
36.0,32.81,36
8.0,12.83,13
39.0,37.96,38
15.0,16.77,17
37.0,34.56,49
39.0,37.94,43
26.0,12.83,8
54.0,39.64,34
39.0,41.15,28
33.0,33.41,27
14.0,15.74,17
18.0,15.74,8
29.0,40.7,34
12.0,12.83,6
9.0,18.16,15
12.0,12.83,11
33.0,22.79,16
11.0,12.83,14
48.0,32.84,29
36.0,33.46,25
38.0,41.15,35
15.0,13.87,5
42.0,34.56,41
68.0,57.31,61
39.0,41.15,50
23.0,26.55,19
20.0,22.79,17
42.0,33.46,21
39.0,41.15,50
29.0,41.15,33
36.0,31.1,27
12.0,12.83,8
28.0,26.55,21
19.0,16.77,13
26.0,31.59,31
36.0,30.03,38
40.0,34.56,26
13.0,18.63,19
5.0,13.87,9
38.0,37.96,44
27.0,26.34,20
8.0,12.83,10
17.0,24.6,19
29.0,32.81,47
26.0,31.59,41
16.0,15.74,13
22.0,32.84,27
13.0,15.74,11
40.0,26.55,32
30.0,29.55,29
15.0,13.87,16
13.0,12.83,12
39.0,37.43,40
28.0,31.1,29
36.0,40.7,28
33.0,37.96,41
27.0,26.55,30
16.0,12.83,10
37.0,29.69,26
36.0,37.94,37
38.0,31.62,28
35.0,41.15,40
22.0,19.28,18
46.0,36.55,30
24.0,26.55,41
38.0,36.55,32
40.0,37.94,25
21.0,33.46,39
20.0,19.28,22
34.0,34.56,34
20.0,18.2,21
24.0,26.55,15
37.0,33.46,24
40.0,29.69,37
28.0,30.03,30
57.0,41.36,35
54.0,37.43,37
38.0,41.15,37
27.0,39.64,19
17.0,12.83,19
44.0,39.64,32
33.0,41.15,48
34.0,45.62,50
19.0,19.28,18
38.0,36.55,37
47.0,40.7,35
57.0,41.15,31
42.0,33.46,43
5.0,12.83,11
28.0,41.15,50
13.0,22.69,20
36.0,34.03,25
33.0,29.69,25
41.0,41.15,27
42.0,41.15,35
27.0,36.55,34
54.0,40.7,32
24.0,18.16,15
26.0,32.25,29
30.0,31.59,23
27.0,40.7,30
30.0,37.96,46
50.0,37.96,27
40.0,36.55,40
36.0,34.56,40
21.0,34.56,35
30.0,41.15,40
12.0,16.77,15
32.0,30.7,47
48.0,32.84,33
9.0,12.83,14
11.0,13.87,11
29.0,37.43,40
21.0,32.25,39
24.0,18.16,15
28.0,36.55,40
30.0,29.69,26
43.0,32.81,44
34.0,33.41,39
28.0,22.69,24
28.0,34.56,30
29.0,41.15,33
34.0,26.55,18
16.0,13.87,6
15.0,18.2,29
23.0,34.56,32
12.0,15.74,15
52.0,57.31,50
32.0,32.81,27
44.0,36.55,35
39.0,40.7,43
29.0,32.84,25
44.0,34.56,32
37.0,34.56,32
38.0,31.62,27
22.0,15.74,9
29.0,29.69,35
52.0,41.15,44
25.0,36.55,31
32.0,26.34,31
14.0,12.83,19
39.0,32.84,34
25.0,31.59,47
5.0,12.83,7
39.0,32.84,34
23.0,29.55,25
9.0,12.83,12
8.0,12.83,14
27.0,30.03,23
31.0,37.43,33
9.0,16.77,12
47.0,41.15,54
29.0,34.29,30
29.0,34.29,24
24.0,34.47,23
31.0,32.84,28
24.0,31.62,25
15.0,26.55,28
45.0,32.84,22
24.0,12.83,13
31.0,32.81,33
13.0,16.77,13
22.0,12.83,18
13.0,12.83,14
13.0,23.52,20
40.0,41.15,43
14.0,18.2,51
21.0,32.84,25
34.0,32.84,28
13.0,22.69,17
27.0,32.84,24
28.0,32.84,31
10.0,12.83,16
13.0,12.83,12
37.0,32.84,29
37.0,36.55,26
30.0,32.25,33
32.0,34.56,34
28.0,32.81,31
59.0,57.31,60
35.0,32.25,21
40.0,32.81,36
39.0,29.55,33
21.0,32.81,27
32.0,26.55,33
20.0,16.77,12
30.0,36.55,21
34.0,34.56,31
48.0,40.7,46
41.0,36.55,37
12.0,13.87,17
23.0,31.1,30
11.0,12.83,13
40.0,32.81,32
35.0,37.43,36
34.0,34.29,26
40.0,34.47,37
41.0,34.56,27
49.0,37.96,25
36.0,32.84,24
9.0,12.83,17
11.0,13.87,15
29.0,31.1,30
42.0,31.59,39
29.0,33.41,17
35.0,30.03,29
24.0,29.55,30
30.0,26.34,28
26.0,31.59,22
11.0,23.59,23
31.0,32.84,29
40.0,37.94,42
25.0,29.69,26
28.0,41.15,40
13.0,16.77,13
31.0,47.85,39
49.0,41.15,40
50.0,33.41,29
7.0,12.83,7
32.0,32.81,34
28.0,41.15,42
25.0,22.79,21
23.0,32.81,34
37.0,32.81,32
33.0,31.62,28
45.0,32.81,42
35.0,32.04,47
9.0,12.83,11
49.0,37.96,34
21.0,41.15,38
40.0,45.62,43
22.0,26.55,25
31.0,32.84,19
36.0,34.56,46
7.0,13.87,9
7.0,12.83,8
25.0,26.34,33
27.0,39.64,43
23.0,32.81,42
12.0,12.83,4
34.0,33.46,31
39.0,33.41,40
9.0,16.77,16
44.0,39.64,43
28.0,35.92,33
44.0,36.55,46
13.0,12.83,11
15.0,26.55,20
23.0,32.84,49
29.0,32.81,34
29.0,32.25,32
48.0,47.85,49
15.0,12.83,10
38.0,40.7,34
30.0,24.6,26
40.0,28.93,29
18.0,12.83,13
37.0,32.81,33
13.0,12.83,20
33.0,39.64,46
59.0,52.39,52
40.0,41.15,41
31.0,33.41,30
20.0,29.69,40
46.0,40.7,41
45.0,34.56,28
34.0,31.59,28
36.0,41.15,46
28.0,34.47,34
37.0,32.84,34
14.0,16.77,22
35.0,32.84,28
8.0,12.83,8
30.0,31.59,35
13.0,16.77,19
18.0,12.83,10
13.0,13.87,10
35.0,32.81,35
40.0,32.81,29
31.0,22.79,20
