Pred. Values,New Pred. Values,Actual Values
19.98,16.28,11
18.97,15.56,11
14.65,12.94,7
29.32,31.31,26
25.34,23.09,21
22.13,21.11,24
36.68,37.21,41
38.85,40.03,47
25.22,26.24,25
32.19,31.55,37
29.37,29.74,25
41.64,42.25,44
33.92,33.15,29
33.94,31.37,27
35.9,38.11,29
35.93,36.04,22
30.15,27.35,27
34.54,35.9,39
32.91,35.6,29
14.8,13.92,7
31.17,31.44,24
32.14,32.69,33
16.34,14.46,9
30.95,30.52,24
36.14,36.44,48
23.46,17.88,38
33.32,34.94,32
33.35,35.27,30
33.74,34.58,44
18.8,18.2,13
28.79,29.26,26
30.55,31.76,27
13.89,11.45,15
25.27,22.59,35
30.38,27.47,22
35.5,35.31,29
22.38,18.52,14
19.43,16.41,14
34.39,36.01,45
19.74,17.64,23
30.2,29.83,31
25.95,23.02,28
29.66,30.67,24
32.59,35.0,39
23.77,21.46,27
14.5,11.88,20
15.69,13.83,15
19.37,18.43,11
29.94,31.35,35
33.45,34.37,33
33.31,32.6,35
34.17,35.37,27
21.16,16.94,10
18.97,14.57,12
35.47,35.71,30
15.25,13.79,11
34.86,35.14,35
33.57,34.68,28
19.31,15.59,21
29.98,31.44,40
15.92,11.73,15
32.06,33.72,34
18.58,14.98,9
31.2,31.97,39
17.66,15.99,13
37.33,38.95,35
28.74,26.12,33
30.02,30.57,41
27.76,28.07,30
26.76,27.5,25
28.93,31.65,38
18.0,15.28,17
32.72,33.88,21
18.9,14.7,12
31.34,32.94,40
45.3,51.55,69
21.1,17.71,14
19.96,15.67,20
21.97,18.15,14
38.22,42.79,46
16.85,14.61,18
32.62,34.42,42
39.26,39.25,24
25.56,26.28,26
17.6,14.97,9
33.43,34.74,27
21.35,21.19,19
21.8,20.74,26
35.04,36.03,27
32.51,30.79,27
33.11,32.72,33
38.08,39.28,39
42.91,44.65,31
37.58,39.39,49
17.97,13.97,19
30.34,31.38,29
36.31,35.31,31
40.14,39.28,35
37.63,37.03,29
41.65,46.31,34
31.81,31.09,26
26.86,27.31,19
35.87,34.55,29
35.12,34.1,38
38.59,37.81,36
35.02,34.89,55
30.82,32.75,36
13.86,11.07,13
36.23,37.3,38
18.42,16.66,17
30.75,30.93,49
36.7,37.67,43
14.48,11.88,8
36.2,35.97,34
35.47,34.92,28
33.66,34.71,27
20.59,17.93,17
21.47,18.74,8
36.41,36.54,34
16.67,13.95,6
17.19,15.72,15
14.02,12.0,11
18.54,17.2,16
15.8,14.12,14
31.19,29.08,29
35.29,35.42,25
42.58,44.04,35
18.7,15.22,5
36.09,36.46,41
45.65,53.47,61
38.72,38.7,50
27.27,23.46,19
19.74,19.31,17
33.86,34.47,21
35.2,37.47,50
38.56,37.02,33
32.08,33.15,27
17.38,14.41,8
24.48,22.79,21
18.41,15.76,13
30.74,32.85,31
29.47,32.26,38
33.08,33.27,26
19.47,17.22,19
16.87,12.99,9
33.08,33.32,44
26.17,27.86,20
16.78,12.94,10
20.62,19.39,19
33.16,34.89,47
29.19,30.31,41
18.87,15.52,13
35.71,34.78,27
18.17,15.72,11
34.28,36.01,32
27.15,28.51,29
17.6,16.11,16
16.14,14.72,12
32.42,32.03,40
31.54,32.83,29
37.01,34.67,28
39.24,40.79,41
28.24,28.82,30
14.22,12.91,10
32.88,33.0,26
39.59,39.17,37
33.33,34.96,28
40.38,41.04,40
20.69,17.07,18
35.54,35.18,30
35.81,37.32,41
38.01,37.72,32
34.0,34.64,25
32.82,32.71,39
18.86,14.24,22
33.88,34.52,34
20.81,18.23,21
24.8,21.93,15
35.23,34.4,24
34.37,35.5,37
29.81,32.61,30
37.14,37.91,35
35.85,35.04,37
40.58,42.09,37
30.48,31.98,19
16.66,15.01,19
37.96,38.76,32
35.63,36.3,48
38.38,40.5,50
25.55,23.56,18
34.82,35.59,37
36.29,37.83,35
37.23,39.71,31
32.84,32.8,43
17.39,14.56,11
37.7,40.03,50
24.93,22.08,20
32.33,32.79,25
29.04,30.13,25
41.59,42.21,27
36.74,38.05,35
33.81,35.22,34
34.37,35.89,32
16.88,15.81,15
34.67,33.46,29
30.54,30.34,23
35.6,35.62,30
35.11,36.21,46
35.01,35.27,27
37.97,40.0,40
36.65,35.18,40
32.37,32.49,35
38.16,40.53,40
17.9,15.14,15
31.68,30.08,47
28.24,27.93,33
16.85,15.14,14
24.75,23.19,11
33.39,32.92,40
41.39,40.33,39
17.14,15.61,15
34.33,34.09,40
30.31,28.55,26
35.27,37.11,44
32.99,31.77,39
29.33,26.73,24
33.49,31.45,30
34.57,32.29,33
26.38,22.26,18
18.92,14.39,6
22.62,21.65,29
31.28,32.88,32
20.96,16.98,15
41.07,43.6,50
29.11,31.76,27
33.21,33.5,35
39.75,39.78,43
31.72,31.08,25
32.38,33.43,32
33.49,34.36,32
32.51,33.62,27
21.93,16.92,9
34.51,38.03,35
34.69,36.32,44
34.31,33.52,31
23.97,24.32,31
17.74,15.33,19
32.97,31.72,34
29.26,31.76,47
15.23,13.34,7
31.52,32.11,34
24.62,25.49,25
17.52,15.06,12
15.48,11.39,14
28.72,29.0,23
35.94,35.06,33
19.47,17.89,12
39.22,41.99,54
30.41,30.6,30
32.89,34.17,24
33.06,32.1,23
31.05,30.27,28
29.14,28.07,25
26.58,24.07,28
32.93,33.36,22
16.38,17.47,13
30.93,32.37,33
17.95,12.64,13
15.16,14.12,18
15.3,11.29,14
23.83,19.91,20
36.28,38.4,43
26.84,26.42,51
29.47,30.71,25
35.03,32.78,28
23.94,21.57,17
28.9,26.47,24
31.78,32.98,31
14.29,10.97,16
15.56,13.3,12
34.6,33.08,29
35.22,34.25,26
35.09,35.38,33
35.28,34.05,34
30.41,31.04,31
46.85,53.51,60
36.55,36.69,21
33.66,36.6,36
23.54,23.4,33
32.28,31.84,27
27.02,27.38,33
19.6,16.82,12
33.38,34.33,21
30.58,30.8,31
42.33,42.78,46
35.08,35.9,37
16.77,15.62,17
32.94,34.56,30
16.91,12.58,13
