Pred. Values,Actual Values
16.08,11
15.35,11
12.9,7
31.34,26
23.07,21
21.17,24
37.06,41
39.89,47
26.18,25
31.64,37
29.66,25
42.07,44
33.23,29
31.43,27
38.04,29
35.97,22
27.41,27
35.84,39
35.71,29
13.94,7
31.49,24
32.76,33
14.38,9
30.41,24
36.42,48
17.94,38
35.03,32
35.2,30
34.56,44
18.22,13
29.37,26
31.76,27
11.44,15
22.65,35
27.46,22
35.34,29
18.49,14
16.48,14
36.04,45
17.6,23
29.77,31
23.02,28
30.59,24
35.03,39
21.58,27
11.87,20
14.0,15
18.44,11
31.24,35
34.27,33
32.49,35
35.49,27
16.86,10
14.62,12
35.9,30
13.83,11
35.02,35
34.56,28
15.64,21
31.47,40
11.67,15
33.73,34
14.92,9
31.99,39
15.85,13
39.03,35
26.1,33
30.61,41
28.14,30
27.57,25
31.74,38
15.32,17
33.87,21
14.68,12
33.11,40
51.71,69
17.5,14
15.65,20
18.09,14
42.75,46
14.65,18
34.45,42
39.09,24
26.38,26
14.87,9
34.75,27
21.2,19
20.8,26
35.99,27
30.85,27
32.7,33
39.37,39
44.6,31
39.39,49
13.99,19
31.33,29
35.18,31
39.19,35
36.99,29
46.48,34
30.99,26
27.33,19
34.47,29
34.21,38
37.88,36
34.83,55
32.85,36
11.03,13
37.23,38
16.68,17
30.92,49
37.56,43
11.93,8
35.85,34
34.84,28
34.79,27
17.88,17
18.72,8
36.68,34
13.94,6
15.59,15
12.12,11
17.1,16
14.0,14
29.04,29
35.33,25
44.03,35
15.23,5
36.42,41
53.61,61
38.61,50
23.31,19
19.26,17
34.55,21
37.64,50
37.02,33
33.11,27
14.3,8
22.74,21
15.78,13
32.91,31
32.28,38
33.32,26
17.2,19
12.91,9
33.28,44
27.95,20
12.73,10
19.3,19
34.93,47
30.35,41
15.39,13
34.67,27
15.67,11
36.09,32
28.45,29
16.12,16
14.76,12
32.01,40
32.75,29
34.39,28
40.8,41
28.85,30
12.96,10
33.03,26
39.37,37
35.12,28
41.05,40
17.03,18
35.07,30
37.37,41
37.62,32
34.65,25
32.65,39
14.17,22
34.43,34
18.33,21
21.72,15
34.3,24
35.5,37
32.65,30
37.94,35
34.95,37
42.13,37
31.93,19
14.96,19
38.56,32
36.33,48
40.65,50
23.62,18
35.54,37
37.73,35
39.76,31
32.94,43
14.55,11
39.97,50
22.03,20
32.75,25
30.16,25
42.08,27
38.23,35
35.19,34
35.95,32
15.84,15
33.45,29
30.24,23
35.59,30
36.18,46
35.35,27
40.07,40
35.1,40
32.44,35
40.55,40
15.1,15
29.93,47
27.88,33
15.12,14
23.12,11
32.98,40
40.29,39
15.55,15
34.06,40
28.46,26
37.08,44
31.69,39
26.71,24
31.37,30
32.17,33
22.22,18
14.12,6
21.76,29
32.77,32
16.87,15
43.63,50
31.93,27
33.47,35
39.64,43
31.22,25
33.52,32
34.25,32
33.63,27
16.6,9
38.12,35
36.35,44
33.53,31
24.24,31
15.38,19
31.67,34
31.72,47
13.29,7
32.12,34
25.42,25
15.08,12
11.36,14
28.86,23
35.17,33
17.97,12
42.11,54
30.72,30
34.25,24
32.15,23
30.19,28
27.95,25
24.01,28
33.33,22
17.57,13
32.43,33
12.51,13
14.18,18
11.22,14
19.68,20
38.38,43
26.49,51
30.84,25
32.74,28
21.58,17
26.41,24
33.03,31
10.9,16
13.34,12
32.96,29
34.09,26
35.4,33
33.88,34
31.02,31
53.67,60
36.76,21
36.67,36
23.38,33
31.78,27
27.48,33
16.79,12
34.26,21
30.81,31
42.63,46
35.98,37
15.73,17
34.63,30
12.24,13
33.5,32
34.77,36
31.97,26
30.15,37
33.7,27
29.29,25
31.72,24
15.15,17
14.2,15
31.45,30
29.31,39
33.12,17
36.62,29
25.3,30
25.98,28
28.62,22
19.43,23
32.91,29
34.15,42
26.84,26
41.58,40
11.29,13
43.86,39
36.45,40
37.45,29
12.67,7
27.78,34
38.37,42
17.4,21
24.01,34
32.37,32
32.63,28
30.85,42
23.78,47
15.74,11
36.69,34
40.61,38
