Pred. Values,New Pred. Values,Actual Values
14.59,14.25,11
15.35,15.14,11
13.89,13.55,7
32.17,28.83,26
19.84,18.53,21
21.0,21.97,24
35.94,36.64,41
42.15,41.55,47
29.7,30.96,25
30.52,32.08,37
30.66,31.62,25
40.88,42.28,44
38.72,36.74,29
29.85,30.87,27
36.0,34.45,29
35.29,36.21,22
31.63,31.2,27
37.41,37.63,39
31.83,31.98,29
12.84,12.8,7
29.27,29.22,24
32.64,32.68,33
12.48,12.41,9
30.34,29.48,24
35.21,36.53,48
23.03,23.09,38
33.81,34.01,32
32.01,32.69,30
35.2,35.42,44
22.49,22.45,13
31.76,30.89,26
32.37,32.39,27
12.27,11.91,15
25.98,26.81,35
24.6,25.65,22
33.45,34.26,29
14.19,15.19,14
17.37,17.06,14
35.36,34.93,45
20.48,22.17,23
32.16,32.33,31
23.56,23.15,28
31.49,30.86,24
34.26,34.85,39
20.72,20.54,27
13.93,12.65,20
13.5,13.04,15
14.55,14.7,11
30.95,31.27,35
33.91,33.97,33
33.17,33.41,35
33.91,34.69,27
15.81,16.69,10
13.28,13.38,12
36.09,36.13,30
12.85,12.19,11
33.86,34.14,35
30.84,32.26,28
17.11,17.29,21
33.12,33.19,40
13.87,12.77,15
33.59,33.89,34
13.35,13.27,9
31.4,31.7,39
16.5,17.57,13
40.49,38.97,35
27.91,27.29,33
31.03,31.66,41
31.74,29.66,30
29.35,30.0,25
31.78,32.0,38
13.23,13.56,17
31.11,31.36,21
16.68,16.15,12
32.59,33.04,40
53.18,55.86,69
14.68,16.31,14
16.82,16.67,20
19.13,18.77,14
42.21,39.76,46
15.03,14.4,18
37.46,34.97,42
37.58,38.25,24
28.18,28.91,26
12.41,13.12,9
32.31,32.4,27
16.92,18.61,19
16.31,17.62,26
34.74,35.05,27
32.8,32.19,27
34.35,35.07,33
34.92,36.88,39
44.94,43.69,31
38.81,38.17,49
13.67,12.98,19
27.64,28.77,29
35.3,36.16,31
38.75,38.48,35
37.77,39.04,29
42.86,46.15,34
34.42,34.83,26
25.86,25.79,19
36.14,36.52,29
36.08,33.55,38
39.61,39.71,36
33.17,31.43,55
32.18,31.56,36
12.17,12.67,13
37.04,38.55,38
16.3,16.45,17
34.77,34.22,49
38.95,37.18,43
14.54,14.42,8
40.8,43.06,34
37.99,37.25,28
35.24,34.9,27
15.26,14.73,17
15.25,15.81,8
37.84,37.39,34
13.66,13.03,6
18.18,18.22,15
13.43,12.78,11
19.96,20.7,16
14.08,13.57,14
32.32,32.17,29
34.04,34.32,25
37.74,39.01,35
13.79,14.01,5
35.66,35.95,41
56.73,54.09,61
39.69,38.55,50
25.67,25.5,19
21.97,21.4,17
31.95,33.03,21
39.95,41.74,50
36.94,39.23,33
31.73,31.48,27
12.08,13.09,8
24.84,21.81,21
17.17,16.73,13
31.05,31.29,31
29.93,29.99,38
35.05,34.62,26
15.22,15.33,19
12.44,12.66,9
34.88,35.11,44
28.57,29.46,20
13.97,13.53,10
21.09,21.51,19
33.32,33.33,47
29.99,31.81,41
14.33,13.94,13
32.73,33.88,27
15.4,14.93,11
34.66,33.59,32
28.13,28.6,29
12.99,12.32,16
13.04,13.35,12
34.64,34.35,40
30.29,31.14,29
37.75,38.07,28
35.5,35.52,41
29.16,28.56,30
12.27,12.03,10
30.97,32.0,26
39.67,39.23,37
35.45,34.52,28
37.98,39.58,40
18.25,18.71,18
37.85,36.49,30
33.95,34.5,41
36.06,36.61,32
37.72,36.08,25
32.26,33.02,39
17.76,18.07,22
36.22,36.56,34
19.52,20.03,21
24.95,22.26,15
33.97,33.85,24
31.16,32.28,37
30.21,30.92,30
43.53,41.7,35
37.6,36.74,37
39.93,38.89,37
34.38,30.82,19
14.7,14.08,19
39.79,39.45,32
37.94,38.16,48
44.51,42.08,50
18.53,19.04,18
35.25,35.12,37
36.47,37.48,35
39.47,39.46,31
34.18,33.49,43
14.15,13.61,11
38.62,38.96,50
21.3,23.33,20
36.14,36.12,25
30.17,29.06,25
40.58,41.26,27
40.71,40.75,35
35.53,35.28,34
39.42,38.22,32
20.01,18.38,15
32.11,33.89,29
30.79,32.76,23
39.99,38.51,30
37.88,36.09,46
35.83,36.9,27
38.25,37.01,40
34.43,34.14,40
34.26,34.54,35
40.06,39.41,40
15.48,15.08,15
32.43,32.85,47
27.79,28.33,33
12.36,12.26,14
16.52,15.77,11
34.36,34.98,40
37.52,38.43,39
17.84,18.86,15
34.77,35.07,40
27.39,28.21,26
34.43,35.58,44
32.47,33.5,39
25.21,24.93,24
33.05,33.59,30
35.77,35.55,33
22.71,23.29,18
13.8,13.67,6
20.49,19.43,29
30.05,31.09,32
15.01,16.06,15
49.63,47.95,50
32.2,31.84,27
35.97,35.16,35
38.53,38.34,43
33.28,34.3,25
34.25,34.53,32
34.43,34.82,32
33.44,32.4,27
15.48,15.81,9
34.18,32.64,35
39.4,40.15,44
37.04,34.9,31
28.61,27.81,31
12.96,12.8,19
31.48,31.68,34
30.67,31.6,47
13.67,12.39,7
30.31,30.11,34
28.57,28.06,25
12.75,12.72,12
12.41,12.49,14
29.97,29.64,23
36.71,37.21,33
15.01,15.8,12
42.98,42.06,54
33.6,32.58,30
34.11,35.23,24
32.63,33.46,23
33.13,30.74,28
28.94,26.4,25
24.76,24.94,28
33.69,33.87,22
13.18,12.89,13
32.0,32.12,33
16.34,15.3,13
15.24,13.91,18
12.96,12.62,14
25.8,23.57,20
43.21,40.94,43
23.3,25.85,51
28.68,29.29,25
34.22,33.44,28
20.64,21.85,17
30.06,28.46,24
33.59,33.93,31
12.59,12.32,16
13.31,12.54,12
33.63,33.42,29
35.78,35.6,26
36.62,36.35,33
34.12,34.45,34
31.29,32.22,31
57.85,55.93,60
35.13,36.08,21
34.32,34.61,36
29.26,28.84,33
31.61,31.13,27
26.84,27.67,33
16.44,16.33,12
35.32,35.05,21
32.87,32.95,31
38.61,39.21,46
34.08,35.4,37
12.88,13.55,17
32.8,32.04,30
13.35,12.64,13
32.14,32.21,32
36.88,35.23,36
34.15,32.92,26
33.01,33.85,37
33.95,34.0,27
35.12,34.56,25
32.29,33.47,24
13.44,13.2,17
12.62,12.79,15
31.16,31.08,30
31.07,30.72,39
29.57,29.26,17
31.0,31.26,29
30.88,30.08,30
25.4,25.11,28
30.59,31.37,22
20.64,21.95,23
32.2,32.25,29
35.66,35.6,42
27.72,27.79,26
38.84,39.13,40
13.72,14.51,13
42.77,39.92,39
37.2,38.34,40
36.26,36.28,29
13.04,12.49,7
31.97,30.84,34
37.41,37.41,42
21.65,21.53,21
30.18,29.75,34
33.16,33.14,32
34.91,32.47,28
32.45,31.78,42
29.49,28.38,47
14.09,13.01,11
35.93,36.26,34
37.02,38.26,38
39.56,40.4,43
25.98,25.04,25
31.34,30.68,19
36.33,34.95,46
13.91,14.43,9
12.63,12.58,8
29.92,28.95,33
40.64,39.61,43
32.22,31.92,42
13.63,14.14,4
32.95,33.12,31
35.3,36.66,40
17.83,18.01,16
39.86,41.1,43
34.85,36.96,33
36.57,36.12,46
13.78,13.33,11
22.87,23.5,20
33.36,33.59,49
32.4,32.42,34
37.47,38.4,32
42.15,42.57,49
12.54,12.55,10
37.16,35.79,34
29.23,29.56,26
31.77,29.74,29
14.02,13.49,13
31.96,31.84,33
14.63,13.96,20
55.64,48.96,46
48.31,50.53,52
38.36,39.49,41
39.8,38.44,30
29.57,28.66,40
38.68,37.07,41
34.35,32.96,28
32.04,32.25,28
40.28,40.88,46
35.7,35.2,34
34.64,34.97,34
19.74,19.12,22
34.49,33.59,28
13.49,13.3,8
29.62,31.34,35
13.68,15.32,19
13.61,13.69,10
14.09,13.47,10
33.74,32.77,35
32.6,32.27,29
22.37,22.07,20
23.7,23.05,14
33.23,33.29,35
24.9,23.91,25
35.68,35.96,22
27.83,29.16,31
23.57,22.66,24
13.75,12.61,9
28.87,30.0,23
32.48,32.42,32
34.09,34.44,36
32.27,32.27,31
30.05,29.62,31
34.33,33.87,29
31.78,30.45,23
30.17,30.13,24
32.64,33.97,28
33.1,32.6,30
24.4,25.48,20
28.53,28.63,21
33.55,34.89,34
17.98,18.8,25
36.16,36.93,39
34.62,35.56,23
34.45,34.14,31
39.33,39.1,40
21.97,21.5,17
33.64,32.37,32
28.99,28.96,34
33.77,33.1,36
28.83,29.6,20
25.18,27.03,31
14.69,13.7,12
13.03,13.11,16
35.07,39.57,36
29.38,31.19,33
30.88,31.23,33
39.18,37.0,31
36.94,36.07,36
45.0,44.17,62
30.93,30.3,34
35.43,35.25,28
13.52,13.75,11
39.49,40.77,25
11.66,12.08,10
30.18,30.68,32
19.02,18.68,17
38.24,38.12,36
37.56,37.39,26
35.21,35.74,33
32.08,32.81,37
30.95,30.93,32
35.98,34.47,35
37.63,37.04,31
35.32,34.2,41
25.03,27.59,31
36.98,38.31,36
36.72,35.36,47
31.03,31.44,26
12.61,13.26,12
33.15,33.18,37
38.72,39.24,28
36.39,34.98,31
30.82,31.63,33
17.76,19.15,42
32.97,34.14,32
29.1,29.2,27
29.8,29.57,30
31.27,31.77,38
13.35,12.76,13
39.5,38.1,38
30.68,31.02,28
26.08,26.33,26
31.46,32.15,27
33.29,31.89,34
41.8,40.96,49
24.44,25.91,27
25.48,26.22,25
29.19,30.8,24
31.63,31.76,32
33.23,33.16,27
13.11,13.26,8
32.01,33.25,24
37.01,35.84,34
32.07,31.27,36
36.9,36.02,37
10.98,12.39,12
37.07,36.92,43
32.71,31.52,31
11.63,12.07,8
35.17,35.03,41
35.98,37.46,25
35.7,36.43,33
38.41,37.16,28
49.2,52.88,69
29.11,27.54,25
35.12,35.87,34
35.65,34.54,28
14.76,14.16,11
31.2,30.99,36
18.29,20.19,14
32.38,33.06,28
31.18,29.96,36
37.17,35.77,37
39.2,40.41,33
16.93,17.01,20
14.47,13.8,13
33.97,33.34,19
35.78,35.88,29
18.42,17.94,27
39.0,38.58,30
35.96,36.07,21
22.18,22.05,19
28.22,28.63,27
34.36,33.58,39
33.89,33.48,33
12.28,12.26,16
34.16,33.15,38
22.63,23.04,19
32.39,34.4,24
33.13,33.48,34
37.39,36.41,48
45.94,47.23,52
15.16,13.94,7
34.99,35.11,28
18.75,18.38,9
30.84,28.69,30
33.01,33.01,31
44.78,46.75,55
34.79,36.41,31
32.67,32.22,28
28.99,28.66,27
28.74,29.95,31
31.67,31.99,27
32.7,34.02,21
11.59,11.84,5
26.68,25.65,29
35.77,35.5,31
36.14,34.9,32
35.47,35.65,43
36.1,36.63,28
12.57,14.6,10
27.73,27.93,30
33.64,33.1,31
12.74,12.45,6
43.75,41.71,42
32.67,33.21,41
22.57,23.69,22
